Date,Open,High,Low,Close,Volume
2025-12-30,272.555,273.824,272.025,272.825,22160333
2025-12-31,272.805,273.424,271.496,271.606,27319178
2026-01-02,272,277.58,268.749,270.757,37873459
2026-01-05,270.387,271.256,265.891,267.01,45689903
2026-01-06,266.75,267.3,261.875,262.115,52401077
2026-01-07,262.954,263.433,259.567,260.087,48355008
2026-01-08,256.78,259.048,255.461,258.798,50466515
2026-01-09,258.833,259.967,255.98,259.128,40034393
2026-01-12,258.918,261.056,256.56,260.007,45306121
2026-01-13,258.478,261.565,258.148,260.806,45773638
2026-01-14,259.247,261.575,256.47,259.717,40056868
2026-01-15,260.406,260.796,256.81,257.969,39425420
2026-01-16,257.659,258.658,254.692,255.291,72210278
2026-01-20,252.494,254.552,243.192,246.469,80342625
2026-01-21,248.468,251.325,244.951,247.418,54692854
2026-01-22,248.967,250.765,247.918,248.118,39745496
2026-01-23,247.089,249.177,244.451,247.808,41727991
2026-01-26,251.245,256.32,249.566,255.171,56021605
2026-01-27,258.928,261.705,257.969,258.029,49694728
2026-01-28,257.409,258.613,254.272,256.2,41326605
2026-01-29,257.759,259.407,254.172,258.039,67315939
2026-01-30,254.926,261.655,251.944,259.237,92529909
2026-02-02,259.787,270.237,258.963,269.758,73982587
2026-02-03,268.948,271.621,267.36,269.228,64454910
2026-02-04,272.03,278.689,272.03,276.232,90630435
2026-02-05,277.87,279.239,272.975,275.652,53027013
2026-02-06,276.861,280.642,276.666,277.86,50500624
2026-02-09,277.905,278.2,271.7,274.62,44623396
2026-02-10,274.885,275.37,272.94,273.68,34376898
2026-02-11,274.695,280.18,274.45,275.5,51931283
2026-02-12,275.59,275.72,260.18,261.73,81077229
2026-02-13,262.01,262.23,255.45,255.78,56290673
2026-02-17,258.05,266.29,255.54,263.88,58469094
2026-02-18,263.6,266.82,262.45,264.35,34203337
2026-02-19,262.6,264.48,260.05,260.58,30845294
2026-02-20,258.97,264.75,258.16,264.58,42070499
2026-02-23,263.49,269.43,263.381,266.18,37308200
2026-02-24,267.86,274.89,267.71,272.14,47014619
2026-02-25,271.78,274.94,271.05,274.23,33714342
2026-02-26,274.945,276.11,270.795,272.95,32191569
2026-02-27,272.81,272.81,262.89,264.18,72232024
2026-03-02,262.41,266.53,260.2,264.72,41827946
2026-03-03,263.48,265.56,260.13,263.69,38568921
2026-03-04,264.65,266.15,261.42,262.45,39803119
2026-03-05,260.79,261.555,257.25,260.25,49658626
2026-03-06,258.63,258.77,254.37,257.46,41120042
2026-03-09,255.69,261.15,253.68,259.89,38218533
2026-03-10,257.645,262.48,256.95,260.72,30590765
2026-03-11,261.09,262.13,259.55,260.81,26218927
2026-03-12,258.66,258.95,254.18,255.76,40794020
2026-03-13,255.48,256.33,249.52,250.12,36929988
2026-03-16,252.105,253.885,249.88,252.82,32074210
2026-03-17,252.955,255.13,252.18,254.23,32361607
2026-03-18,252.625,254.94,249,249.94,35757874
2026-03-19,249.4,251.83,247.3,248.96,34864082
2026-03-20,247.975,249.199,246,247.99,88331081
2026-03-23,253.97,254.6,250.28,251.49,40546109
2026-03-24,250.35,254.825,249.55,251.64,45152288
2026-03-25,254.095,255,251.6,252.62,28476668
2026-03-26,252.115,257,250.77,252.89,41796650
2026-03-27,253.9,255.493,248.07,248.8,47899998
2026-03-30,250.07,250.87,245.51,246.63,39446213
2026-03-31,247.91,255.48,247.101,253.79,49598091
2026-04-01,254.08,256.18,253.33,255.63,40059432
2026-04-02,254.2,256.13,250.65,255.92,31289369
2026-04-06,256.51,262.16,256.46,258.86,29329911
2026-04-07,256.155,256.2,245.7,253.5,62148008
2026-04-08,258.45,259.7499,256.53,258.9,41032772
2026-04-09,259,261.12,256.07,260.49,28121574
2026-04-10,259.98,262.19,259.02312,260.48,31291473
2026-04-13,259.73,260.18,256.66,259.2,36234698
2026-04-14,259.245,261.93,257.19,258.83,48370710
2026-04-15,258.16,266.56,257.81,266.43,49913510
2026-04-16,266.8,267.16,261.27,263.4,43323112
2026-04-17,266.96,272.3,266.72,270.23,61436228
2026-04-20,270.33,274.275,270.29,273.05,36590169
2026-04-21,271.5,272.8,265.4,266.17,50209755
2026-04-22,267.82,273.74,266.87,273.17,43249204
2026-04-23,275.045,275.77,271.65,273.43,33399639
2026-04-24,272.755,273.06,269.65,271.06,38157110
2026-04-27,266.09,268.36,265.07,267.61,41466762
2026-04-28,272.335,273.23,268.66,270.71,40018940
2026-04-29,267.55,271.04,267.04,270.17,30047869
2026-04-30,270.5,276,268.14,271.35,91848230
2026-05-01,278.855,287.22,278.37,280.14,79915442
2026-05-04,279.655,280.63,274.8601,276.83,46668401
2026-05-05,276.925,284.57,276.501,284.18,49311712
2026-05-06,281.915,288.03,281.07,287.51,58336072
2026-05-07,289.27,292.13,285.78,287.44,45224300
2026-05-08,290.01,294.76,290,293.32,52692761
2026-05-11,291.979,293.88,290.23,292.68,42247285
2026-05-12,292.56,295.27,292.56,294.8,45748129
2026-05-13,293.5,300.92,293.5,298.87,52684260
2026-05-14,299.82,300.45,295.38,298.21,35324922
2026-05-15,297.9,303.2,296.52,300.23,54862836
2026-05-18,300.24,300.66,294.91,297.84,34482959
2026-05-19,296.97,300.51,296.35,298.97,42243561
2026-05-20,298.18,302.8,298.08,302.25,38229843
2026-05-21,301.055,305.54,300.4,304.99,42965126
2026-05-22,306.12,311.4,305.84,308.82,43670223
2026-05-26,309.56,311.82,307.67,308.33,48000493
2026-05-27,308.33,313.26,308.3,310.85,50430919
2026-05-28,310.68,312.8,309.57,312.51,48220390
2026-05-29,311.775,315,309.53,312.06,70026752
2026-06-01,309.625,310.94,305.02,306.31,48849933
2026-06-02,307.46,315.45,306.685,315.2,44534716
2026-06-03,314.175,316.94,308.85,310.26,50836705
2026-06-04,313.23,313.54,309.65,311.23,44869134
2026-06-05,312.86,315.17,307.15,307.34,65310502
2026-06-08,308.739,317.4,301.17,301.54,77949082
2026-06-09,300.275,300.75,287.78,290.55,70108847
2026-06-10,290.74,294.75,287.38,291.58,52793266
2026-06-11,293.72,297,289.59,295.63,42572497
